Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|A0A087WQE6|A0A087WQE6_MOUSE Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;tr|A0A087WNT1|A0A087WNT1_MOUSE Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;sp|P83940|ELOC_MOUSE Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;tr|,1632800,1384300,972580,1889700,1537100,811470
tr|A0A087WRL1|A0A087WRL1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Agfg1 PE=1 SV=6;tr|A0A087WNV1|A0A087WNV1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Agfg1 PE=1 ,1067300,1399400,1063900,777630,585970,1278000
tr|A0A087WQF8|A0A087WQF8_MOUSE Kinectin OS=Mus musculus OX=10090 GN=Ktn1 PE=1 SV=1;tr|A0A087WP48|A0A087WP48_MOUSE Kinectin OS=Mus musculus OX=10090 GN=Ktn1 PE=1 SV=1;tr|A0A087WS04|A0A087WS04_MOUSE Kinectin OS=Mus musculus OX=10090 GN=Ktn1 PE=1 SV=1;tr|A0A0,535270,601050,522140,431280,317140,565060
tr|J3QP81|J3QP81_MOUSE CLIP-associating protein 1 OS=Mus musculus OX=10090 GN=Clasp1 PE=1 SV=1;tr|A5D6Q8|A5D6Q8_MOUSE Clasp1 protein OS=Mus musculus OX=10090 GN=Clasp1 PE=2 SV=1;tr|A0A087WS18|A0A087WS18_MOUSE CLIP-associating protein 1 OS=Mus musculus OX=1,290530,367170,332880,236650,184320,388020
tr|A0A087WNY2|A0A087WNY2_MOUSE Cysteine protease (Fragment) OS=Mus musculus OX=10090 GN=Atg4b PE=1 SV=1;tr|A0A087WRT0|A0A087WRT0_MOUSE Cysteine protease OS=Mus musculus OX=10090 GN=Atg4b PE=1 SV=1;tr|Q3UNF6|Q3UNF6_MOUSE Cysteine protease OS=Mus musculus OX,24411,0,0,0,0,0
tr|A0A087WSJ9|A0A087WSJ9_MOUSE Regulator of G-protein-signaling 6 OS=Mus musculus OX=10090 GN=Rgs6 PE=1 SV=1;tr|A0A087WSH2|A0A087WSH2_MOUSE Regulator of G-protein-signaling 6 OS=Mus musculus OX=10090 GN=Rgs6 PE=1 SV=4;tr|A0A087WPW1|A0A087WPW1_MOUSE Regulat,70801,101890,99124,99289,61199,152060
tr|Q3TYE5|Q3TYE5_MOUSE Limbic system-associated membrane protein OS=Mus musculus OX=10090 GN=Lsamp PE=1 SV=1;tr|A0A087WP80|A0A087WP80_MOUSE Limbic system-associated membrane protein OS=Mus musculus OX=10090 GN=Lsamp PE=1 SV=1;sp|Q8BLK3|LSAMP_MOUSE Limbic s,34332000,31043000,31967000,17872000,16092000,29359000
tr|A0A087WP81|A0A087WP81_MOUSE Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment) OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=1;sp|Q9WUP7|UCHL5_MOUSE Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=2,275390,374220,346610,328480,216330,405840
tr|A0A087WP98|A0A087WP98_MOUSE Prothymosin alpha OS=Mus musculus OX=10090 GN=Ptma PE=1 SV=1;tr|A0A087WPN6|A0A087WPN6_MOUSE Prothymosin alpha OS=Mus musculus OX=10090 GN=Ptma PE=1 SV=1;tr|Q3U6E4|Q3U6E4_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 ,426240,224230,544070,414420,77031,444340
"tr|A0A087WPC3|A0A087WPC3_MOUSE Cytochrome P450, family 4, subfamily a, polypeptide 29 OS=Mus musculus OX=10090 GN=Cyp4a29 PE=3 SV=1",0,4628,0,0,0,4360.5
tr|A0A087WPF9|A0A087WPF9_MOUSE Basic leucine zipper and W2 domain-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Bzw1 PE=1 SV=1;tr|A0A087WQS2|A0A087WQS2_MOUSE Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus OX=10090 GN=,1384400,1561200,1415900,1212200,676170,1719100
tr|A0A087WPL5|A0A087WPL5_MOUSE ATP-dependent RNA helicase A OS=Mus musculus OX=10090 GN=Dhx9 PE=1 SV=1;tr|E9QNN1|E9QNN1_MOUSE ATP-dependent RNA helicase A OS=Mus musculus OX=10090 GN=Dhx9 PE=1 SV=1;sp|O70133|DHX9_MOUSE ATP-dependent RNA helicase A OS=Mus m,930270,1000000,627260,802470,651100,760800
tr|A0A087WPM2|A0A087WPM2_MOUSE MCG5343 OS=Mus musculus OX=10090 GN=Ppfia4 PE=1 SV=1;tr|B8QI36|B8QI36_MOUSE Liprin-alpha 4 OS=Mus musculus OX=10090 GN=Ppfia4 PE=1 SV=1;tr|Q69ZW5|Q69ZW5_MOUSE MKIAA0897 protein (Fragment) OS=Mus musculus OX=10090 GN=Ppfia4 PE,205930,186830,210080,109910,91396,186870
tr|A0A087WQG1|A0A087WQG1_MOUSE Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus OX=10090 GN=Ilkap PE=1 SV=1;tr|A0A087WPM3|A0A087WPM3_MOUSE Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus OX,6678,0,6178,6569.1,1403.7,6294.2
tr|A0A087WPR1|A0A087WPR1_MOUSE Myelin-associated glycoprotein OS=Mus musculus OX=10090 GN=Mag PE=1 SV=1;sp|P20917|MAG_MOUSE Myelin-associated glycoprotein OS=Mus musculus OX=10090 GN=Mag PE=1 SV=2;tr|Q3ZB62|Q3ZB62_MOUSE Myelin-associated glycoprotein OS=Mu,16514000,18070000,21645000,14246000,11240000,21918000
tr|A0A087WPR9|A0A087WPR9_MOUSE Reticulophagy regulator 2 (Fragment) OS=Mus musculus OX=10090 GN=Retreg2 PE=1 SV=1;sp|Q6NS82|RETR2_MOUSE Reticulophagy regulator 2 OS=Mus musculus OX=10090 GN=Retreg2 PE=1 SV=2,32781,40880,35748,20314,14730,30406
tr|A0A087WQ11|A0A087WQ11_MOUSE S-phase kinase-associated protein 2 OS=Mus musculus OX=10090 GN=Skp2 PE=1 SV=1;tr|Q569Z9|Q569Z9_MOUSE S-phase kinase-associated protein 2 (P45) OS=Mus musculus OX=10090 GN=Skp2 PE=2 SV=1;sp|Q9Z0Z3|SKP2_MOUSE S-phase kinase-as,2261100,1763600,1437000,1716000,2505500,1485600
tr|Q3TSL8|Q3TSL8_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Kcnma1 PE=2 SV=1;tr|E9Q9P4|E9Q9P4_MOUSE Calcium-activated potassium channel subunit alpha-1 OS=Mus musculus OX=10090 GN=Kcnma1 PE=1 SV=2;tr|F7BHL0|F7BHL0_MOUSE Calcium-ac,1048100,572380,894610,995330,686250,1375800
tr|Q6P5H4|Q6P5H4_MOUSE Kif1a protein OS=Mus musculus OX=10090 GN=Kif1a PE=2 SV=1;tr|E9QAN4|E9QAN4_MOUSE Kinesin-like protein KIF1A OS=Mus musculus OX=10090 GN=Kif1a PE=1 SV=1;tr|G3UW47|G3UW47_MOUSE Kinesin family member 1A OS=Mus musculus OX=10090 GN=Kif1a,4360200,4704100,3545700,4267100,3105900,3946500
tr|A0A087WQF0|A0A087WQF0_MOUSE Phospholipid phosphatase-related protein type 2 OS=Mus musculus OX=10090 GN=Plppr2 PE=1 SV=1;sp|Q8VCY8|PLPR2_MOUSE Phospholipid phosphatase-related protein type 2 OS=Mus musculus OX=10090 GN=Plppr2 PE=1 SV=1,129390,111350,122250,78269,50598,153020
tr|A0A087WQL2|A0A087WQL2_MOUSE V-set and transmembrane domain-containing protein 2B (Fragment) OS=Mus musculus OX=10090 GN=Vstm2b PE=1 SV=1;tr|A0A0U1RNU3|A0A0U1RNU3_MOUSE V-set and transmembrane domain-containing protein 2B (Fragment) OS=Mus musculus OX=10,16492,22081,14990,25263,16314,27170
"tr|A0A087WQS5|A0A087WQS5_MOUSE ATP synthase, H+-transporting, mitochondrial F0 complex, subunit C2 (subunit 9) (Fragment) OS=Mus musculus OX=10090 GN=Atp5g2 PE=3 SV=1;tr|Q14BC2|Q14BC2_MOUSE ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c",6453000,5611700,2464800,9563300,10832000,2545200
tr|D3YXM1|D3YXM1_MOUSE Serine/threonine-protein kinase 16 (Fragment) OS=Mus musculus OX=10090 GN=Stk16 PE=1 SV=1;tr|A0A087WQT0|A0A087WQT0_MOUSE Serine/threonine-protein kinase 16 (Fragment) OS=Mus musculus OX=10090 GN=Stk16 PE=1 SV=1;tr|Q05DP1|Q05DP1_MOUSE,37366,35869,19176,29543,20510,27249
tr|Q14BI4|Q14BI4_MOUSE Bai1 protein OS=Mus musculus OX=10090 GN=Adgrb1 PE=2 SV=1;tr|A0A087WSA1|A0A087WSA1_MOUSE Adhesion G protein-coupled receptor B1 OS=Mus musculus OX=10090 GN=Adgrb1 PE=1 SV=1;tr|A0A087WQV8|A0A087WQV8_MOUSE Adhesion G protein-coupled re,18829,15604,16925,13615,9532.5,22962
tr|A0A087WQY7|A0A087WQY7_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus OX=10090 GN=Ndufaf8 PE=1 SV=1;sp|A2AMZ4|NDUF8_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus OX=,628980,569630,786630,397020,221510,608920
"tr|A0A087WR97|A0A087WR97_MOUSE TAR DNA-binding protein 43 (Fragment) OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1;tr|Q8BUM1|Q8BUM1_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Tardbp PE=2 SV=1;tr|Q544R5|Q544R5_MOUSE MCG16669, isoform CRA_b OS=",368850,445460,295930,393920,314460,328600
tr|A0A087WRC0|A0A087WRC0_MOUSE Tripeptidyl-peptidase 2 OS=Mus musculus OX=10090 GN=Tpp2 PE=1 SV=1;tr|Q3TB11|Q3TB11_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Tpp2 PE=2 SV=1;tr|Q3U4M7|Q3U4M7_MOUSE Uncharacterized protein OS=Mus mus,2951200,3001800,2914600,2525400,1911400,3797000
tr|A0A087WRM2|A0A087WRM2_MOUSE Integral membrane protein 2C OS=Mus musculus OX=10090 GN=Itm2c PE=1 SV=1;sp|Q91VK4|ITM2C_MOUSE Integral membrane protein 2C OS=Mus musculus OX=10090 GN=Itm2c PE=1 SV=2;tr|Q3U0F3|Q3U0F3_MOUSE Uncharacterized protein OS=Mus mus,821480,725690,838300,597420,446850,878860
tr|A0A087WRS3|A0A087WRS3_MOUSE Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1;tr|A0A087WR90|A0A087WR90_MOUSE Abl interactor 2 (Fragment) OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=6;tr|A0A087WPP8|A0A087WPP8_MOUSE Abl interactor 2 OS=Mus musculus,330140,427610,241090,340470,272630,400920
tr|B2RWX7|B2RWX7_MOUSE Voltage-dependent R-type calcium channel subunit alpha OS=Mus musculus OX=10090 GN=Cacna1e PE=2 SV=1;tr|A0A087WS83|A0A087WS83_MOUSE Voltage-dependent R-type calcium channel subunit alpha OS=Mus musculus OX=10090 GN=Cacna1e PE=1 SV=1;,519920,566840,507890,386840,340370,608010
tr|A0A087WSE3|A0A087WSE3_MOUSE Striated muscle-specific serine/threonine-protein kinase (Fragment) OS=Mus musculus OX=10090 GN=Speg PE=1 SV=1;tr|E9QQ25|E9QQ25_MOUSE Striated muscle-specific serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Speg P,90514,86757,89834,73837,34810,78232
tr|A0A087WSP0|A0A087WSP0_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1;tr|E9Q9X1|E9Q9X1_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=2;tr|S4R1P5|S4R1P5_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1;sp|Q91ZU6|DYST_MOUSE Dysto,51391,66666,47251,13359,14201,77159
tr|A0A087WSS1|A0A087WSS1_MOUSE RIKEN cDNA 2310035C23 gene OS=Mus musculus OX=10090 GN=2310035C23Rik PE=1 SV=1;tr|E9QM90|E9QM90_MOUSE RIKEN cDNA 2310035C23 gene OS=Mus musculus OX=10090 GN=2310035C23Rik PE=1 SV=2;sp|Q148V7|K1468_MOUSE LisH domain and HEAT r,821360,934450,813040,759300,477340,930380
tr|Q8BVD4|Q8BVD4_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Gcdh PE=2 SV=1;tr|A0A1S6GWJ2|A0A1S6GWJ2_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Gcdh PE=2 SV=1;tr|A0A0A0MQ68|A0A0A0MQ68_MOUSE Glutaryl-CoA dehydrogenase,195020,210170,234960,75043,70039,187040
tr|S4R294|S4R294_MOUSE Protein PRRC2C OS=Mus musculus OX=10090 GN=Prrc2c PE=1 SV=1;tr|S4R2J9|S4R2J9_MOUSE Protein PRRC2C OS=Mus musculus OX=10090 GN=Prrc2c PE=1 SV=1;tr|A0A0A0MQ79|A0A0A0MQ79_MOUSE Protein PRRC2C OS=Mus musculus OX=10090 GN=Prrc2c PE=1 SV=1,151830,187750,163490,129730,113430,159840
tr|Q9QYS7|Q9QYS7_MOUSE Sos1 (Fragment) OS=Mus musculus OX=10090 PE=4 SV=1;tr|Q3USK4|Q3USK4_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Sos1 PE=2 SV=1;tr|Q2M4G6|Q2M4G6_MOUSE Son of sevenless like-protein 1 (Fragment) OS=Mus musculus OX=10090 G,220900,241140,229050,136280,112730,218500
tr|X1WI19|X1WI19_MOUSE Cytoplasmic phosphatidylinositol transfer protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Pitpnc1 PE=1 SV=7;tr|A0A0A0MQ88|A0A0A0MQ88_MOUSE Cytoplasmic phosphatidylinositol transfer protein 1 OS=Mus musculus OX=10090 GN=Pitpnc1 PE=1 ,268570,262620,383810,200210,152000,323910
tr|Q545H7|Q545H7_MOUSE S100 calcium binding protein A13 OS=Mus musculus OX=10090 GN=S100a13 PE=2 SV=1;tr|A0A0A0MQ90|A0A0A0MQ90_MOUSE Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1;sp|P97352|S10AD_MOUSE Protein S100-A13 OS=Mus musculus OX=10,2162200,2503300,3060600,2000700,1306200,1429200
tr|D3YZL0|D3YZL0_MOUSE Alpha-1-antitrypsin 1-1 (Fragment) OS=Mus musculus OX=10090 GN=Serpina1a PE=3 SV=1;tr|Q91X22|Q91X22_MOUSE Serpina1b protein OS=Mus musculus OX=10090 GN=Serpina1b PE=2 SV=1;tr|Q3KQQ4|Q3KQQ4_MOUSE Serpina1a protein OS=Mus musculus OX=1,217360,60065,202520,555560,411150,585630
tr|A0A0A0MQA5|A0A0A0MQA5_MOUSE Tubulin alpha chain (Fragment) OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1;sp|P68368|TBA4A_MOUSE Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1,80955000,101630000,88025000,71065000,55280000,98720000
tr|A0A0A0MQA6|A0A0A0MQA6_MOUSE Microtubule-actin cross-linking factor 1 OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=1;tr|F7ACR9|F7ACR9_MOUSE Microtubule-actin cross-linking factor 1 (Fragment) OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=1;tr|E9QNP1|E9QNP1_MOUS,1522900,1428900,1332200,1271000,1140400,1400300
tr|A0A0A0MQC9|A0A0A0MQC9_MOUSE Protein LSM12 homolog OS=Mus musculus OX=10090 GN=Lsm12 PE=1 SV=1;sp|Q9D0R8|LSM12_MOUSE Protein LSM12 homolog OS=Mus musculus OX=10090 GN=Lsm12 PE=1 SV=1,982110,1247900,910180,932190,543190,1120000
tr|A0A0A0MQD5|A0A0A0MQD5_MOUSE SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus OX=10090 GN=Shank3 PE=1 SV=1;sp|Q4ACU6|SHAN3_MOUSE SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus OX=10090 GN=Shank3 PE=1 SV=3,1506200,1611700,1228300,960310,665270,1345500
tr|D2KHZ9|D2KHZ9_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=GAPDH PE=2 SV=1;tr|A0A0A0MQF6|A0A0A0MQF6_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=1;sp|P16858|G3P_MOUSE Glyceraldehy,105150000,98641000,68051000,99592000,97561000,68818000
tr|A0A0A0MQF7|A0A0A0MQF7_MOUSE RIKEN cDNA 1700025G04 gene OS=Mus musculus OX=10090 GN=1700025G04Rik PE=1 SV=1;tr|Q3TJL3|Q3TJL3_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=1700025G04Rik PE=1 SV=1;sp|Q8K207|CA021_MOUSE Uncharacterized protein C,458480,661200,245070,613550,353330,333020
tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1;sp|P63242|IF5A1_MOUSE Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=2;tr|J3QPS8|J3QP,3462300,3074400,2922100,2860000,2462900,3283900
tr|S4R2P7|S4R2P7_MOUSE Ubiquitin-like modifier-activating enzyme ATG7 (Fragment) OS=Mus musculus OX=10090 GN=Atg7 PE=1 SV=1;tr|S4R1T0|S4R1T0_MOUSE Ubiquitin-like modifier-activating enzyme ATG7 (Fragment) OS=Mus musculus OX=10090 GN=Atg7 PE=1 SV=1;tr|S4R2T,328030,381660,399740,270840,172950,444160
tr|A0A0A1HAM8|A0A0A1HAM8_MOUSE 80K protein OS=Mus musculus OX=10090 GN=Marcks PE=2 SV=1;sp|P26645|MARCS_MOUSE Myristoylated alanine-rich C-kinase substrate OS=Mus musculus OX=10090 GN=Marcks PE=1 SV=2;tr|Q05BL6|Q05BL6_MOUSE Marcks protein (Fragment) OS=Mus,1090000,1076000,452320,1228900,1225500,275150
tr|A0A140T8K9|A0A140T8K9_MOUSE Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus OX=10090 GN=Syngap1 PE=1 SV=1;tr|A0A0A6YVS6|A0A0A6YVS6_MOUSE Ras/Rap GTPase-activating protein SynGAP (Fragment) OS=Mus musculus OX=10090 GN=Syngap1 PE=1 SV=2;tr|J3QQ18,9221100,7863300,6620600,6610000,3911600,9174900
tr|A0A0A6YY34|A0A0A6YY34_MOUSE Glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx1 PE=1 SV=1;tr|A0A0A6YVV2|A0A0A6YVV2_MOUSE Glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx1 PE=1 SV=1;sp|P11352|GPX1_MOUSE Glutathione peroxidase 1 OS=Mus musculus ,2387900,2991300,2344900,1739600,1961000,2259400
tr|A0A0A6YVX6|A0A0A6YVX6_MOUSE Target of rapamycin complex 2 subunit MAPKAP1 (Fragment) OS=Mus musculus OX=10090 GN=Mapkap1 PE=1 SV=1;tr|A0A0A6YW60|A0A0A6YW60_MOUSE Target of rapamycin complex 2 subunit MAPKAP1 (Fragment) OS=Mus musculus OX=10090 GN=Mapkap,0,0,0,0,0,0
tr|A0A0A6YXC8|A0A0A6YXC8_MOUSE Protein enabled homolog OS=Mus musculus OX=10090 GN=Enah PE=1 SV=1;tr|E9QKR1|E9QKR1_MOUSE Protein enabled homolog OS=Mus musculus OX=10090 GN=Enah PE=1 SV=2;tr|A0A0A6YW06|A0A0A6YW06_MOUSE Protein enabled homolog OS=Mus muscul,302810,507550,293300,305870,198950,328730
tr|Q80XD3|Q80XD3_MOUSE Regulator of G-protein-signaling 7 OS=Mus musculus OX=10090 GN=Rgs7 PE=1 SV=1;tr|A0A0A6YW36|A0A0A6YW36_MOUSE Regulator of G-protein-signaling 7 OS=Mus musculus OX=10090 GN=Rgs7 PE=1 SV=1;sp|O54829|RGS7_MOUSE Regulator of G-protein si,6077500,7089400,5824200,5724500,3925400,8156600
"tr|A5JUZ1|A5JUZ1_MOUSE Ubiqutin subunit 1 (Fragment) OS=Mus musculus OX=10090 GN=Ubc PE=2 SV=1;tr|A0A0A6YW67|A0A0A6YW67_MOUSE MCG23377, isoform CRA_b OS=Mus musculus OX=10090 GN=Gm8797 PE=4 SV=1;tr|E9Q9J0|E9Q9J0_MOUSE Ubiquitin-60S ribosomal protein L40 (F",16921000,21364000,15528000,16213000,15949000,14343000
tr|A0A0A6YWC8|A0A0A6YWC8_MOUSE Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=1;tr|Q5FWJ3|Q5FWJ3_MOUSE Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=1;tr|Q3V2S4|Q3V2S4_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Vim PE=2 SV=1;tr|Q3UAX1|Q,951400,976030,804130,2203100,2562800,903240
