Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|A0A087WRX8|A0A087WRX8_MOUSE Serine/arginine repetitive matrix protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Srrm2 PE=1 SV=1;tr|Q05CY4|Q05CY4_MOUSE Srrm2 protein (Fragment) OS=Mus musculus OX=10090 GN=Srrm2 PE=2 SV=1;tr|Q05BN4|Q05BN4_MOUSE Srrm2 prote,776290,1039600,649590,598100,990400,685450
tr|E9QK20|E9QK20_MOUSE Voltage-dependent R-type calcium channel subunit alpha OS=Mus musculus OX=10090 GN=Cacna1e PE=1 SV=2;tr|A0A1D5RLU3|A0A1D5RLU3_MOUSE Voltage-dependent R-type calcium channel subunit alpha OS=Mus musculus OX=10090 GN=Cacna1e PE=1 SV=1;,920600,673620,774500,1011100,1529000,1015900
tr|A0A087WSM1|A0A087WSM1_MOUSE Islet cell autoantigen 1-like protein OS=Mus musculus OX=10090 GN=Ica1l PE=1 SV=1;sp|Q3TY65|ICA1L_MOUSE Islet cell autoantigen 1-like protein OS=Mus musculus OX=10090 GN=Ica1l PE=1 SV=1,14939,16946,12038,0,77431,31173
tr|A0A087WSP0|A0A087WSP0_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1;tr|E9Q9X1|E9Q9X1_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=2;tr|S4R1P5|S4R1P5_MOUSE Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1;sp|Q91ZU6|DYST_MOUSE Dysto,569960,547200,494690,303080,441390,331300
"tr|Q6PAS6|Q6PAS6_MOUSE Plch2 protein (Fragment) OS=Mus musculus OX=10090 GN=Plch2 PE=2 SV=1;tr|A0A087WSR3|A0A087WSR3_MOUSE 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 OS=Mus musculus OX=10090 GN=Plch2 PE=1 SV=1;tr|Q6ZQB0|Q6ZQB0_MOUSE MK",441100,317890,284630,165090,352650,313600
tr|A0A087WSS1|A0A087WSS1_MOUSE RIKEN cDNA 2310035C23 gene OS=Mus musculus OX=10090 GN=2310035C23Rik PE=1 SV=1;tr|E9QM90|E9QM90_MOUSE RIKEN cDNA 2310035C23 gene OS=Mus musculus OX=10090 GN=2310035C23Rik PE=1 SV=2;sp|Q148V7|K1468_MOUSE LisH domain and HEAT r,3627000,3226300,2820200,1930700,2945400,2572800
"tr|A0A0A0MQ68|A0A0A0MQ68_MOUSE Glutaryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Gcdh PE=1 SV=1;tr|Q8BVD4|Q8BVD4_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Gcdh PE=2 SV=1;tr|A0A1S6GWJ2|A0A1S6GWJ2_MOUSE Uncharac",515460,540950,468270,247260,456460,333190
tr|X1WI19|X1WI19_MOUSE Cytoplasmic phosphatidylinositol transfer protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Pitpnc1 PE=1 SV=7;tr|A0A0A0MQ88|A0A0A0MQ88_MOUSE Cytoplasmic phosphatidylinositol transfer protein 1 OS=Mus musculus OX=10090 GN=Pitpnc1 PE=1 ,620770,445390,1136200,358580,615770,485510
tr|Q545H7|Q545H7_MOUSE S100 calcium binding protein A13 OS=Mus musculus OX=10090 GN=S100a13 PE=2 SV=1;tr|A0A0A0MQ90|A0A0A0MQ90_MOUSE Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1;sp|P97352|S10AD_MOUSE Protein S100-A13 OS=Mus musculus OX=10,748650,890290,1073600,653550,875240,751620
tr|S4R203|S4R203_MOUSE Rho GTPase-activating protein 12 OS=Mus musculus OX=10090 GN=Arhgap12 PE=1 SV=1;tr|S4R248|S4R248_MOUSE Rho GTPase-activating protein 12 OS=Mus musculus OX=10090 GN=Arhgap12 PE=1 SV=1;tr|A0A0A0MQ95|A0A0A0MQ95_MOUSE Rho GTPase-activati,0,0,0,0,0,0
tr|Q91X22|Q91X22_MOUSE Serpina1b protein OS=Mus musculus OX=10090 GN=Serpina1b PE=2 SV=1;tr|Q3KQQ4|Q3KQQ4_MOUSE Serpina1a protein OS=Mus musculus OX=10090 GN=Serpina1b PE=2 SV=1;tr|A0A0R4J0X5|A0A0R4J0X5_MOUSE Alpha-1-antitrypsin 1-3 OS=Mus musculus OX=1009,671780,1106200,836640,658170,1094600,863880
tr|A0A0A0MQA5|A0A0A0MQA5_MOUSE Tubulin alpha chain (Fragment) OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1;sp|P68368|TBA4A_MOUSE Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1,79273000,45420000,89894000,50697000,81954000,56747000
tr|A0A0A0MQA6|A0A0A0MQA6_MOUSE Microtubule-actin cross-linking factor 1 OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=1;tr|F7ACR9|F7ACR9_MOUSE Microtubule-actin cross-linking factor 1 (Fragment) OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=1;tr|E9QNP1|E9QNP1_MOUS,6232400,7109400,4474300,3339500,5760100,4277100
tr|A0A0A0MQB0|A0A0A0MQB0_MOUSE cDNA sequence BC003331 OS=Mus musculus OX=10090 GN=BC003331 PE=1 SV=1;sp|Q4PJX1|ODR4_MOUSE Protein odr-4 homolog OS=Mus musculus OX=10090 GN=Odr4 PE=1 SV=2,1849400,1496800,1639700,1015900,1358600,1355900
tr|V9GXB5|V9GXB5_MOUSE Homeobox protein Meis1 (Fragment) OS=Mus musculus OX=10090 GN=Meis1 PE=1 SV=1;tr|A0A0A7EPH8|A0A0A7EPH8_MOUSE Meis2 homeobox isoform 2c (Fragment) OS=Mus musculus OX=10090 GN=Meis2 PE=2 SV=1;tr|A0A0A0MQB8|A0A0A0MQB8_MOUSE Homeobox pro,31159,182400,21163,40743,65468,43449
tr|A0A0A0MQC9|A0A0A0MQC9_MOUSE Protein LSM12 homolog OS=Mus musculus OX=10090 GN=Lsm12 PE=1 SV=1;sp|Q9D0R8|LSM12_MOUSE Protein LSM12 homolog OS=Mus musculus OX=10090 GN=Lsm12 PE=1 SV=1,1344600,1534600,1350400,866760,1483800,1111200
tr|A0A0A0MQD5|A0A0A0MQD5_MOUSE SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus OX=10090 GN=Shank3 PE=1 SV=1;sp|Q4ACU6|SHAN3_MOUSE SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus OX=10090 GN=Shank3 PE=1 SV=3,3305500,1716400,3630900,4548500,5938700,4696400
tr|A2AHC4|A2AHC4_MOUSE Calmodulin-regulated spectrin-associated protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1;tr|A0A0A0MQE5|A0A0A0MQE5_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV,99392,94903,86231,68696,102460,68057
tr|G3UWM5|G3UWM5_MOUSE Rho GTPase-activating protein 21 (Fragment) OS=Mus musculus OX=10090 GN=Arhgap21 PE=1 SV=1;tr|B7ZCJ0|B7ZCJ0_MOUSE Rho GTPase-activating protein 21 OS=Mus musculus OX=10090 GN=Arhgap21 PE=1 SV=1;tr|A0A0A0MQE8|A0A0A0MQE8_MOUSE Rho GTPa,83951,53644,66350,50122,68028,51257
tr|D2KHZ9|D2KHZ9_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=GAPDH PE=2 SV=1;tr|A0A0A0MQF6|A0A0A0MQF6_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=1;sp|P16858|G3P_MOUSE Glyceraldehy,251880000,190660000,235360000,114460000,164040000,176840000
"tr|A0A0A0MQL8|A0A0A0MQL8_MOUSE NudC domain-containing protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Nudcd3 PE=1 SV=1;tr|B0FTY3|B0FTY3_MOUSE NudC domain containing 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Nudcd3 PE=2 SV=1;sp|Q8R1N4|NUDC3_MOUSE NudC d",1448300,1167500,1317400,664220,1491800,835290
tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1;sp|P63242|IF5A1_MOUSE Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=2;tr|J3QPS8|J3QP,3650200,3859600,3185600,1941900,3300000,2628800
tr|A0A0A1HAM8|A0A0A1HAM8_MOUSE 80K protein OS=Mus musculus OX=10090 GN=Marcks PE=2 SV=1;sp|P26645|MARCS_MOUSE Myristoylated alanine-rich C-kinase substrate OS=Mus musculus OX=10090 GN=Marcks PE=1 SV=2;tr|Q05BL6|Q05BL6_MOUSE Marcks protein (Fragment) OS=Mus,4467300,3994400,2730800,980640,2150900,1977300
tr|A0A0A6YVU8|A0A0A6YVU8_MOUSE MCG119397 OS=Mus musculus OX=10090 GN=Gm9774 PE=4 SV=1;sp|Q9JKV1|ADRM1_MOUSE Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus OX=10090 GN=Adrm1 PE=1 SV=2;tr|Q8VCI8|Q8VCI8_MOUSE Adrm1 protein OS=Mus musculus OX=10090 GN=Ad,367520,317520,314790,266680,422040,214260
tr|A0A0A6YY34|A0A0A6YY34_MOUSE Glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx1 PE=1 SV=1;tr|A0A0A6YVV2|A0A0A6YVV2_MOUSE Glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx1 PE=1 SV=1;sp|P11352|GPX1_MOUSE Glutathione peroxidase 1 OS=Mus musculus ,2350400,3036300,3457800,1978800,3007800,2103200
tr|A0A0A6YVV5|A0A0A6YVV5_MOUSE Far upstream element (FUSE)-binding protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1;tr|A2AJ72|A2AJ72_MOUSE Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1;tr|Q3ULP9|Q,115250,74685,135470,35546,82820,54012
tr|B5TVM5|B5TVM5_MOUSE Lisch-like isoform 3 OS=Mus musculus OX=10090 GN=Ildr2 PE=2 SV=1;tr|A0A0A6YWD2|A0A0A6YWD2_MOUSE Immunoglobulin-like domain-containing receptor 2 OS=Mus musculus OX=10090 GN=Ildr2 PE=1 SV=1;tr|B5TVM7|B5TVM7_MOUSE Lisch-like isoform 5 ,244950,253110,518240,162840,380280,198020
tr|A0A0A6YXC8|A0A0A6YXC8_MOUSE Protein enabled homolog OS=Mus musculus OX=10090 GN=Enah PE=1 SV=1;tr|E9QKR1|E9QKR1_MOUSE Protein enabled homolog OS=Mus musculus OX=10090 GN=Enah PE=1 SV=2;tr|A0A0A6YW06|A0A0A6YW06_MOUSE Protein enabled homolog OS=Mus muscul,2951600,2950800,2484800,1211000,2293700,1684100
